epoch,train_loss,val_loss,val_acc,val_auc
1,0.6974,0.6565,0.5887,0.6673
2,0.6696,0.6356,0.6290,0.6935
3,0.6444,0.6211,0.6210,0.7125
4,0.5756,0.6047,0.6532,0.7375
5,0.5914,0.5627,0.7016,0.7807
6,0.4647,0.5716,0.7177,0.7713
7,0.5098,0.5929,0.6613,0.7776
8,0.5176,0.6304,0.6532,0.7794
9,0.4658,0.5858,0.6774,0.7700
10,0.4725,0.6196,0.6613,0.7755
11,0.4615,0.5915,0.7177,0.7997
12,0.3956,0.5601,0.7177,0.7973
13,0.4135,0.6517,0.6452,0.8005
14,0.4038,0.5229,0.7097,0.8192
15,0.4380,0.7482,0.6048,0.8252
16,0.4525,0.5266,0.7016,0.8132
17,0.3975,0.6071,0.6935,0.8010
18,0.4310,0.5859,0.6613,0.8176
19,0.4615,0.5836,0.6774,0.7984
20,0.3573,0.5616,0.6935,0.8007
21,0.4128,0.6285,0.6694,0.8213
22,0.3908,0.5626,0.6935,0.8338
23,0.3649,0.6286,0.6532,0.8046
24,0.4738,0.5897,0.7016,0.8463
25,0.3598,0.6584,0.6935,0.8223
26,0.3277,0.7595,0.6694,0.8314
27,0.3836,0.7328,0.6774,0.8416
28,0.3248,0.5517,0.7016,0.8470
29,0.3054,0.7288,0.6855,0.8400
30,0.4455,0.5310,0.6694,0.8312
31,0.4046,0.5341,0.7097,0.8392
32,0.4306,0.6651,0.6613,0.8286
33,0.3843,0.5178,0.6694,0.8345
34,0.3306,0.5714,0.6935,0.8424
35,0.3677,0.5266,0.7016,0.8299
36,0.3842,0.5368,0.7097,0.8569
37,0.3489,0.6426,0.6935,0.8327
38,0.3304,0.5753,0.7177,0.8613
39,0.3013,0.5631,0.7339,0.8585
40,0.4080,0.6729,0.7177,0.8278
41,0.4245,0.6090,0.7177,0.8489
42,0.3445,0.6010,0.7258,0.8647
43,0.3540,0.5867,0.6855,0.8629
44,0.3652,0.7818,0.6694,0.8684
45,0.3693,0.5331,0.7258,0.8491
46,0.3713,0.5111,0.7016,0.8535
47,0.4353,0.5201,0.7419,0.8502
48,0.3503,0.6140,0.7097,0.8236
49,0.3233,0.5671,0.7177,0.8387
50,0.3529,0.4896,0.7500,0.8572
51,0.3504,0.6570,0.7097,0.8788
52,0.3173,0.4971,0.7258,0.8535
53,0.4256,0.5794,0.7177,0.8863
54,0.3367,0.4549,0.7581,0.9014
55,0.3824,0.4740,0.7177,0.8754
56,0.4240,0.4864,0.7258,0.8827
57,0.3444,0.5581,0.7339,0.8647
58,0.3871,0.4350,0.7500,0.8894
59,0.3429,0.6101,0.7177,0.8676
60,0.3331,0.4897,0.7419,0.8772
61,0.3027,0.5424,0.7339,0.8751
62,0.3145,0.5945,0.7016,0.8730
63,0.2187,0.5870,0.7258,0.8803
64,0.3242,0.5128,0.7419,0.8673
65,0.2782,0.4821,0.7500,0.8621
66,0.3410,0.5764,0.7500,0.8790
67,0.3010,0.5188,0.7097,0.8764
68,0.2743,0.7773,0.6532,0.8637
69,0.2722,0.4973,0.7419,0.8743
70,0.2675,0.5707,0.7097,0.8723
71,0.1812,0.5752,0.7097,0.8715
72,0.2168,0.6407,0.7016,0.8749
73,0.2348,0.5331,0.7339,0.8730
74,0.2083,0.5401,0.7258,0.8767
75,0.2111,0.6359,0.6855,0.8707
76,0.2167,0.6686,0.6855,0.8874
77,0.2506,0.4432,0.7823,0.8949
78,0.1887,0.4379,0.7742,0.8985
79,0.1734,0.6160,0.6855,0.8845
80,0.1569,0.6344,0.6935,0.8902
81,0.1575,0.6101,0.7097,0.8913
82,0.1721,0.7028,0.7016,0.8855
83,0.1595,0.5165,0.7419,0.8835
84,0.1510,0.7216,0.6855,0.8811
85,0.1832,0.6427,0.7016,0.8913
86,0.1530,0.5114,0.7500,0.8814
87,0.1547,0.4796,0.7339,0.8939
88,0.1561,0.4791,0.7500,0.8967
89,0.1608,0.5297,0.7177,0.8915
90,0.1609,0.4631,0.7742,0.8881
91,0.1420,0.4987,0.7177,0.8829
92,0.1013,0.5733,0.7258,0.8803
93,0.1288,0.6145,0.6532,0.8845
94,0.0755,0.5611,0.7581,0.9019
95,0.1064,0.6701,0.7016,0.8993
96,0.0895,0.4731,0.7419,0.8905
97,0.0856,0.5770,0.7258,0.8988
98,0.0941,0.6057,0.7016,0.9027
99,0.1058,0.5941,0.7258,0.9076
100,0.0939,0.6468,0.7016,0.9001
