epoch,train_loss,val_loss,val_acc,val_auc
1,0.6916,0.6912,0.5000,0.8527
2,0.6916,0.6826,0.5000,0.8777
3,0.6857,0.6703,0.5823,0.8768
4,0.6760,0.6598,0.6835,0.8680
5,0.6755,0.6492,0.7532,0.8749
6,0.6642,0.6397,0.7975,0.8705
7,0.6574,0.6341,0.8101,0.8819
8,0.6538,0.6253,0.7658,0.8782
9,0.6401,0.6182,0.7405,0.8838
10,0.6283,0.6016,0.7975,0.8838
11,0.6193,0.5835,0.8101,0.8904
12,0.6213,0.5784,0.7722,0.8918
13,0.6206,0.5704,0.7975,0.9002
14,0.6243,0.5594,0.8228,0.8930
15,0.6079,0.5486,0.8165,0.8952
16,0.5806,0.5325,0.8354,0.8962
17,0.5975,0.5304,0.7848,0.9024
18,0.5912,0.5187,0.7975,0.9015
19,0.5768,0.5070,0.8354,0.9026
20,0.5618,0.5162,0.7785,0.9074
21,0.5514,0.4972,0.8165,0.9101
22,0.5339,0.4744,0.8608,0.9114
23,0.5562,0.4920,0.8228,0.9146
24,0.5509,0.4895,0.7848,0.9149
25,0.5431,0.4654,0.8354,0.9175
26,0.5043,0.4551,0.8481,0.9178
27,0.5279,0.4463,0.8481,0.9175
28,0.5363,0.4487,0.8544,0.9191
29,0.5009,0.4336,0.8291,0.9188
30,0.4965,0.4390,0.8228,0.9228
31,0.5130,0.4384,0.8228,0.9237
32,0.4719,0.4459,0.8291,0.9261
33,0.4610,0.4084,0.8608,0.9241
34,0.4980,0.4455,0.8165,0.9258
35,0.4429,0.4183,0.8354,0.9237
36,0.4505,0.4036,0.8354,0.9255
37,0.4588,0.4393,0.8228,0.9292
38,0.4404,0.3839,0.8671,0.9295
39,0.4293,0.3791,0.8734,0.9298
40,0.4474,0.4162,0.8291,0.9319
41,0.4175,0.3803,0.8734,0.9338
42,0.4281,0.3774,0.8671,0.9345
43,0.4102,0.3658,0.8671,0.9324
44,0.4631,0.3746,0.8608,0.9340
45,0.3943,0.3719,0.8734,0.9383
46,0.4052,0.3981,0.8354,0.9418
47,0.3659,0.3729,0.8418,0.9388
48,0.3774,0.3431,0.8924,0.9382
49,0.3956,0.3414,0.8861,0.9406
50,0.4029,0.3462,0.8861,0.9383
51,0.3970,0.5359,0.6962,0.9402
52,0.3754,0.3425,0.8924,0.9410
53,0.3441,0.3393,0.8797,0.9402
54,0.3540,0.3527,0.8481,0.9417
55,0.3760,0.3348,0.8861,0.9438
56,0.3683,0.3558,0.8544,0.9407
57,0.3830,0.3438,0.8671,0.9447
58,0.3414,0.3241,0.8861,0.9431
59,0.3564,0.3389,0.8861,0.9441
60,0.3375,0.3276,0.8924,0.9470
61,0.3531,0.3943,0.8291,0.9527
62,0.3286,0.3727,0.8165,0.9476
63,0.3273,0.3203,0.8924,0.9410
64,0.3491,0.3341,0.8924,0.9481
65,0.2907,0.3347,0.8734,0.9452
66,0.2939,0.3222,0.8987,0.9490
67,0.2864,0.3039,0.8987,0.9455
68,0.2932,0.3106,0.8924,0.9474
69,0.3149,0.3039,0.9051,0.9502
70,0.3173,0.3022,0.9051,0.9498
71,0.2799,0.3022,0.9051,0.9439
72,0.2906,0.3148,0.8861,0.9500
73,0.2965,0.2978,0.8987,0.9484
74,0.2903,0.3169,0.8797,0.9498
75,0.2822,0.2926,0.9051,0.9510
76,0.2790,0.3509,0.8291,0.9537
77,0.2972,0.2899,0.9114,0.9511
78,0.2861,0.3028,0.8987,0.9502
79,0.2780,0.2840,0.9051,0.9534
80,0.2773,0.2835,0.8987,0.9553
81,0.2351,0.2847,0.9051,0.9505
82,0.2707,0.2911,0.9051,0.9539
83,0.2822,0.3456,0.8734,0.9455
84,0.2532,0.2803,0.8987,0.9510
85,0.2616,0.3624,0.8165,0.9508
86,0.2820,0.2955,0.8924,0.9556
87,0.2787,0.2925,0.8924,0.9529
88,0.2713,0.2947,0.8987,0.9521
89,0.2357,0.3385,0.8671,0.9569
90,0.2401,0.3271,0.8481,0.9542
91,0.2128,0.2959,0.8987,0.9494
92,0.2221,0.2880,0.8987,0.9500
93,0.2545,0.3548,0.8671,0.9532
94,0.2050,0.3077,0.8924,0.9500
95,0.2116,0.2652,0.8987,0.9566
96,0.2121,0.4684,0.7785,0.9537
97,0.2227,0.2850,0.8987,0.9574
98,0.2617,0.2723,0.9051,0.9596
99,0.2310,0.2590,0.9177,0.9588
100,0.2231,0.2805,0.9051,0.9550
