epoch,train_loss,val_loss,val_acc,val_auc
1,0.6964,0.6888,0.5000,0.7607
2,0.6892,0.6813,0.5000,0.7638
3,0.6836,0.6761,0.6935,0.7716
4,0.6757,0.6725,0.6694,0.7786
5,0.6692,0.6684,0.6774,0.7659
6,0.6708,0.6630,0.6855,0.7646
7,0.6760,0.6576,0.7097,0.7690
8,0.6698,0.6547,0.7258,0.7940
9,0.6599,0.6537,0.7016,0.8033
10,0.6472,0.6429,0.7339,0.8023
11,0.6375,0.6352,0.7339,0.7960
12,0.6500,0.6332,0.7339,0.8023
13,0.6342,0.6252,0.7258,0.8150
14,0.6410,0.6233,0.7500,0.8124
15,0.6330,0.6165,0.7097,0.8161
16,0.6341,0.6109,0.7500,0.8130
17,0.6165,0.6044,0.7500,0.8309
18,0.6068,0.5952,0.7823,0.8447
19,0.6048,0.5913,0.7661,0.8280
20,0.6221,0.5938,0.7581,0.8429
21,0.6130,0.5844,0.7823,0.8556
22,0.6248,0.5757,0.8065,0.8647
23,0.5728,0.5701,0.8065,0.8541
24,0.5727,0.5620,0.7823,0.8678
25,0.5929,0.5671,0.7823,0.8686
26,0.5886,0.5504,0.7903,0.8853
27,0.5705,0.5521,0.8145,0.8842
28,0.5682,0.5470,0.7823,0.8819
29,0.5568,0.5424,0.7823,0.8785
30,0.5481,0.5394,0.7581,0.8861
31,0.5671,0.5161,0.8387,0.8941
32,0.5397,0.5277,0.7903,0.8892
33,0.5581,0.5145,0.8145,0.8959
34,0.5403,0.5187,0.8145,0.8884
35,0.5319,0.5038,0.8145,0.8902
36,0.5306,0.4887,0.8387,0.8941
37,0.4978,0.4805,0.8306,0.8915
38,0.4965,0.5072,0.7823,0.8897
39,0.5150,0.4961,0.8226,0.8959
40,0.5014,0.4768,0.8387,0.8952
41,0.5076,0.4768,0.8226,0.8978
42,0.5120,0.4971,0.7984,0.8871
43,0.5208,0.4746,0.8468,0.8941
44,0.4877,0.4652,0.8226,0.9063
45,0.4581,0.4566,0.8468,0.9066
46,0.4498,0.4558,0.8226,0.8900
47,0.4779,0.5013,0.7661,0.9001
48,0.4694,0.4522,0.8387,0.9045
49,0.4913,0.4510,0.8226,0.9027
50,0.4980,0.4439,0.8306,0.9084
51,0.4397,0.4522,0.8226,0.9097
52,0.5085,0.4469,0.8387,0.9131
53,0.4519,0.4437,0.8306,0.9121
54,0.4210,0.4266,0.8387,0.9131
55,0.4723,0.4456,0.8226,0.9100
56,0.4403,0.4309,0.8226,0.9152
57,0.4222,0.4227,0.8387,0.9113
58,0.4171,0.4183,0.8468,0.9129
59,0.4539,0.4443,0.7984,0.9089
60,0.4043,0.4569,0.7661,0.9188
61,0.4112,0.4576,0.8387,0.9032
62,0.3789,0.4234,0.8145,0.9142
63,0.4130,0.4959,0.7339,0.9181
64,0.3813,0.4093,0.8226,0.9199
65,0.4253,0.4491,0.8065,0.9157
66,0.3671,0.3900,0.8548,0.9165
67,0.4120,0.4078,0.8468,0.9116
68,0.3794,0.3965,0.8468,0.9142
69,0.3854,0.4880,0.7823,0.9089
70,0.3443,0.4189,0.8226,0.9194
71,0.3456,0.5088,0.7661,0.9092
72,0.3873,0.3877,0.8468,0.9142
73,0.3586,0.3972,0.8387,0.9188
74,0.3664,0.4730,0.7419,0.9266
75,0.3711,0.3990,0.8306,0.9121
76,0.3375,0.3810,0.8387,0.9204
77,0.3312,0.3984,0.8468,0.9142
78,0.3702,0.3825,0.8468,0.9183
79,0.3534,0.3796,0.8226,0.9238
80,0.3418,0.4001,0.8226,0.9194
81,0.2961,0.3563,0.8468,0.9264
82,0.3415,0.3953,0.8629,0.9207
83,0.3977,0.3861,0.8226,0.9209
84,0.3237,0.3898,0.8548,0.9168
85,0.3373,0.3609,0.8629,0.9274
86,0.3178,0.3892,0.8468,0.9173
87,0.3574,0.3747,0.8548,0.9209
88,0.3078,0.3629,0.8548,0.9222
89,0.3453,0.3820,0.8226,0.9209
90,0.3115,0.3534,0.8226,0.9238
91,0.3117,0.3955,0.8226,0.9235
92,0.3147,0.3682,0.8306,0.9207
93,0.3113,0.3594,0.8387,0.9277
94,0.2955,0.3836,0.8468,0.9196
95,0.2903,0.3562,0.8468,0.9285
96,0.2989,0.3529,0.8387,0.9290
97,0.2691,0.3538,0.8468,0.9251
98,0.2552,0.3979,0.8065,0.9279
99,0.2727,0.3508,0.8387,0.9261
100,0.2729,0.4006,0.8145,0.9295
