epoch,train_loss,val_loss,val_acc,val_auc
1,0.7141,0.6804,0.5000,0.9257
2,0.6756,0.6673,0.6139,0.8955
3,0.6914,0.6632,0.7658,0.9266
4,0.6692,0.6506,0.8418,0.9348
5,0.6567,0.6334,0.8861,0.9390
6,0.6583,0.6220,0.8797,0.9468
7,0.6426,0.6300,0.6076,0.9466
8,0.6565,0.6161,0.8544,0.9298
9,0.6415,0.5864,0.8671,0.9380
10,0.6152,0.5928,0.7595,0.9362
11,0.6046,0.5594,0.8165,0.9471
12,0.6159,0.5977,0.5506,0.9482
13,0.5743,0.5602,0.7025,0.9361
14,0.5904,0.5309,0.8924,0.9434
15,0.5882,0.5089,0.8734,0.9473
16,0.5612,0.5345,0.7975,0.9471
17,0.5557,0.5114,0.8734,0.9471
18,0.5432,0.5121,0.8608,0.9482
19,0.5196,0.4873,0.8734,0.9494
20,0.5070,0.6329,0.5696,0.9391
21,0.5087,0.4677,0.8544,0.9378
22,0.4918,0.5308,0.7278,0.9474
23,0.4888,0.5213,0.7152,0.9481
24,0.4957,0.4250,0.8734,0.9471
25,0.4719,0.4421,0.8671,0.9489
26,0.4568,0.4646,0.8165,0.9481
27,0.4305,0.4662,0.7975,0.9476
28,0.4477,0.3916,0.8797,0.9508
29,0.4258,0.3904,0.8924,0.9460
30,0.4348,0.4926,0.7975,0.9249
31,0.4279,0.3968,0.8797,0.9481
32,0.4017,0.3721,0.8797,0.9524
33,0.3829,0.4253,0.7975,0.9540
34,0.4047,0.4501,0.7785,0.9465
35,0.4113,0.4268,0.8544,0.9293
36,0.4021,0.3774,0.8671,0.9479
37,0.4098,0.4105,0.8734,0.9399
38,0.4057,0.3396,0.8734,0.9569
39,0.4336,0.4716,0.7468,0.9526
40,0.4269,0.3561,0.8861,0.9500
41,0.3611,0.3571,0.8861,0.9523
42,0.3460,0.4131,0.8101,0.9506
43,0.4024,0.5123,0.7532,0.9431
44,0.3721,0.3428,0.8797,0.9555
45,0.3480,0.3295,0.8924,0.9510
46,0.3975,0.4383,0.8291,0.9474
47,0.3669,0.3150,0.8924,0.9506
48,0.3389,0.3231,0.8671,0.9535
49,0.3662,0.4159,0.8291,0.9487
50,0.3335,0.3318,0.8861,0.9521
51,0.3298,0.2950,0.9177,0.9603
52,0.3377,0.3138,0.8924,0.9567
53,0.3080,0.3933,0.8101,0.9484
54,0.3119,0.3018,0.9114,0.9540
55,0.3223,0.3063,0.8987,0.9583
56,0.3098,0.2888,0.9051,0.9529
57,0.3065,0.2959,0.9114,0.9553
58,0.3068,0.3325,0.8671,0.9577
59,0.2975,0.2826,0.9051,0.9593
60,0.2649,0.3813,0.8228,0.9611
61,0.2992,0.2862,0.9177,0.9564
62,0.3011,0.3799,0.8418,0.9571
63,0.2903,0.3295,0.8671,0.9558
64,0.2928,0.2578,0.9241,0.9553
65,0.2495,0.3101,0.8924,0.9583
66,0.2604,0.3367,0.8924,0.9425
67,0.2332,0.2832,0.9177,0.9559
68,0.3210,0.5196,0.7722,0.9170
69,0.2452,0.5164,0.8101,0.9308
70,0.2606,0.2652,0.9114,0.9598
71,0.2617,0.2820,0.9051,0.9572
72,0.2894,0.3601,0.8481,0.9641
73,0.2657,0.2963,0.8861,0.9652
74,0.2287,0.2774,0.8987,0.9615
75,0.2544,0.2701,0.8987,0.9587
76,0.2300,0.3063,0.8861,0.9575
77,0.2448,0.2900,0.8924,0.9604
78,0.2754,0.5751,0.6835,0.9532
79,0.2890,0.3314,0.8608,0.9556
80,0.2665,0.4227,0.8608,0.9490
81,0.3368,0.4519,0.7911,0.9593
82,0.2489,0.2810,0.9304,0.9521
83,0.2596,0.2828,0.9051,0.9611
84,0.2233,0.2735,0.8987,0.9591
85,0.2065,0.2895,0.8924,0.9559
86,0.2138,0.3051,0.8861,0.9649
87,0.2771,0.2820,0.8734,0.9561
88,0.2437,0.8317,0.6392,0.9330
89,0.2129,0.2525,0.9051,0.9638
90,0.2183,0.2370,0.9177,0.9678
91,0.2240,0.2415,0.9051,0.9644
92,0.2070,0.3085,0.8924,0.9665
93,0.2159,0.2774,0.8987,0.9664
94,0.2459,0.2873,0.8924,0.9612
95,0.2318,0.2770,0.8797,0.9625
96,0.1851,0.2818,0.9177,0.9593
97,0.2295,0.3805,0.8291,0.9606
98,0.1972,0.2749,0.8987,0.9587
99,0.1768,0.2484,0.9241,0.9638
100,0.2048,0.2740,0.9051,0.9620
