epoch,train_loss,val_loss,val_acc,val_auc
1,0.6936,0.6613,0.6129,0.8460
2,0.6604,0.6343,0.7661,0.8358
3,0.6594,0.6204,0.7903,0.8322
4,0.6310,0.6257,0.6774,0.8221
5,0.6378,0.5901,0.7742,0.8416
6,0.6184,0.5701,0.7903,0.8442
7,0.6358,0.5694,0.7661,0.8494
8,0.6052,0.5672,0.7903,0.8411
9,0.6025,0.5500,0.7823,0.8502
10,0.6188,0.5532,0.7581,0.8502
11,0.5973,0.5406,0.7742,0.8556
12,0.5887,0.5332,0.7823,0.8574
13,0.5947,0.5877,0.6774,0.8595
14,0.5612,0.5287,0.7661,0.8577
15,0.5521,0.5415,0.7823,0.8624
16,0.5942,0.5191,0.7742,0.8621
17,0.5409,0.5246,0.7581,0.8561
18,0.5914,0.5262,0.7984,0.8639
19,0.5730,0.5133,0.7742,0.8655
20,0.5665,0.4952,0.7984,0.8743
21,0.5694,0.4945,0.7823,0.8686
22,0.5633,0.4955,0.7903,0.8801
23,0.5267,0.4924,0.7984,0.8775
24,0.5332,0.4987,0.7823,0.8803
25,0.5515,0.5111,0.7903,0.8837
26,0.5678,0.4946,0.8065,0.8816
27,0.5170,0.4681,0.7984,0.8842
28,0.5089,0.4832,0.7984,0.8853
29,0.5430,0.4844,0.8065,0.8858
30,0.4987,0.4779,0.7903,0.8858
31,0.4952,0.4552,0.8065,0.8913
32,0.4930,0.4400,0.8145,0.8915
33,0.5049,0.4455,0.7984,0.8926
34,0.4658,0.4585,0.7984,0.8902
35,0.5153,0.4582,0.8065,0.8933
36,0.4639,0.4378,0.8065,0.8959
37,0.4208,0.4426,0.8145,0.8894
38,0.4837,0.4209,0.8226,0.8967
39,0.4632,0.4228,0.8226,0.8972
40,0.4350,0.4358,0.8145,0.8959
41,0.4316,0.4177,0.8226,0.9022
42,0.4676,0.4228,0.8306,0.9011
43,0.4809,0.6428,0.6048,0.8926
44,0.4406,0.5510,0.7339,0.8972
45,0.4234,0.4439,0.8226,0.9027
46,0.4049,0.4087,0.8306,0.9009
47,0.4116,0.4131,0.8548,0.9004
48,0.3812,0.4148,0.8306,0.9050
49,0.4255,0.4446,0.8145,0.9053
50,0.4198,0.4646,0.8145,0.9027
51,0.3999,0.4276,0.8387,0.9056
52,0.4078,0.4127,0.8306,0.9024
53,0.4197,0.4388,0.8387,0.9043
54,0.4124,0.4105,0.8145,0.9066
55,0.3729,0.3880,0.8468,0.9079
56,0.3924,0.6400,0.7016,0.9053
57,0.4113,0.4616,0.8145,0.9048
58,0.4181,0.4140,0.7984,0.9071
59,0.4251,0.4401,0.7984,0.9204
60,0.3570,0.3932,0.8387,0.9069
61,0.3653,0.5259,0.7419,0.9123
62,0.3158,0.3945,0.8387,0.9084
63,0.3632,0.5254,0.7742,0.9071
64,0.3973,0.3824,0.8548,0.9175
65,0.3090,0.6387,0.6855,0.9181
66,0.4063,0.3874,0.8468,0.9204
67,0.3379,0.4065,0.8226,0.9259
68,0.3276,0.3847,0.8548,0.9287
69,0.3776,0.4025,0.8065,0.9149
70,0.3203,0.4129,0.8226,0.9175
71,0.3466,0.4452,0.8145,0.9220
72,0.3603,0.4018,0.8306,0.9009
73,0.3246,0.3831,0.8387,0.9116
74,0.4071,0.3974,0.8548,0.9142
75,0.3831,0.5615,0.7177,0.9188
76,0.3432,0.3748,0.8548,0.9188
77,0.2922,0.4093,0.8468,0.9186
78,0.3529,0.6076,0.6855,0.9196
79,0.3437,0.3617,0.8790,0.9269
80,0.3130,0.4560,0.7581,0.8918
81,0.3260,0.3501,0.8548,0.9318
82,0.3033,0.4991,0.7903,0.9201
83,0.3286,0.3686,0.8548,0.9251
84,0.3222,0.4714,0.7903,0.9277
85,0.3057,0.3944,0.8387,0.9277
86,0.3160,0.3548,0.8629,0.9264
87,0.3450,0.3765,0.8468,0.9162
88,0.3076,0.3601,0.8629,0.9272
89,0.2819,0.3831,0.8468,0.9248
90,0.2818,0.3648,0.8468,0.9238
91,0.2940,0.3841,0.8468,0.9178
92,0.3156,0.4061,0.8387,0.9248
93,0.2644,0.3529,0.8710,0.9266
94,0.2697,0.4735,0.7984,0.9183
95,0.2571,0.3539,0.8871,0.9285
96,0.2887,0.3689,0.8629,0.9217
97,0.2359,0.3469,0.8629,0.9292
98,0.2608,0.3757,0.8629,0.9201
99,0.3249,0.3568,0.8468,0.9279
100,0.2741,0.4890,0.8065,0.9298
